date,Uruguay national football team, Japan, South Korea national football team
2023-03-24 09:00:00,0,50,0
2023-03-24 10:00:00,1,66,1
2023-03-24 11:00:00,1,63,2
2023-03-24 12:00:00,2,56,2
2023-03-24 13:00:00,1,37,1
2023-03-24 14:00:00,1,35,1
2023-03-24 15:00:00,0,35,0
2023-03-24 16:00:00,1,50,0
2023-03-24 17:00:00,0,66,0
2023-03-24 18:00:00,0,74,0
2023-03-24 19:00:00,1,89,0
2023-03-24 20:00:00,2,88,1
2023-03-24 21:00:00,0,80,0
2023-03-24 22:00:00,0,71,0
2023-03-24 23:00:00,1,63,0
2023-03-25 00:00:00,1,53,0
2023-03-25 01:00:00,0,47,0
2023-03-25 02:00:00,0,38,0
2023-03-25 03:00:00,0,32,0
2023-03-25 04:00:00,0,35,0
2023-03-25 05:00:00,0,34,0
2023-03-25 06:00:00,0,36,0
2023-03-25 07:00:00,0,37,0
2023-03-25 08:00:00,0,39,0
2023-03-25 09:00:00,0,42,0
2023-03-25 10:00:00,0,39,0
2023-03-25 11:00:00,0,37,0
2023-03-25 12:00:00,0,31,0
2023-03-25 13:00:00,0,31,0
2023-03-25 14:00:00,0,35,0
2023-03-25 15:00:00,0,37,0
2023-03-25 16:00:00,0,51,0
2023-03-25 17:00:00,0,70,0
2023-03-25 18:00:00,0,77,0
2023-03-25 19:00:00,1,91,0
2023-03-25 20:00:00,1,93,0
2023-03-25 21:00:00,1,97,0
2023-03-25 22:00:00,1,82,0
2023-03-25 23:00:00,0,66,0
2023-03-26 00:00:00,1,62,0
2023-03-26 01:00:00,1,49,0
2023-03-26 02:00:00,0,42,0
2023-03-26 03:00:00,0,37,0
2023-03-26 04:00:00,0,37,0
2023-03-26 05:00:00,0,38,0
2023-03-26 06:00:00,0,40,0
2023-03-26 07:00:00,0,41,0
2023-03-26 08:00:00,0,47,0
2023-03-26 09:00:00,0,45,0
2023-03-26 10:00:00,0,47,0
2023-03-26 11:00:00,0,42,0
2023-03-26 12:00:00,0,35,0
2023-03-26 13:00:00,0,32,0
2023-03-26 14:00:00,0,33,0
2023-03-26 15:00:00,0,36,0
2023-03-26 16:00:00,0,49,0
2023-03-26 17:00:00,0,65,0
2023-03-26 18:00:00,0,73,0
2023-03-26 19:00:00,0,82,0
2023-03-26 20:00:00,0,93,0
2023-03-26 21:00:00,1,94,0
2023-03-26 22:00:00,0,83,0
2023-03-26 23:00:00,0,62,0
2023-03-27 00:00:00,0,60,0
2023-03-27 01:00:00,0,46,0
2023-03-27 02:00:00,0,42,0
2023-03-27 03:00:00,0,40,0
2023-03-27 04:00:00,0,35,0
2023-03-27 05:00:00,0,35,0
2023-03-27 06:00:00,0,35,0
2023-03-27 07:00:00,0,36,0
2023-03-27 08:00:00,0,36,0
2023-03-27 09:00:00,0,40,0
2023-03-27 10:00:00,0,36,0
2023-03-27 11:00:00,0,37,0
2023-03-27 12:00:00,0,32,0
2023-03-27 13:00:00,0,30,0
2023-03-27 14:00:00,0,33,0
2023-03-27 15:00:00,0,39,0
2023-03-27 16:00:00,0,47,0
2023-03-27 17:00:00,0,66,0
2023-03-27 18:00:00,0,73,0
2023-03-27 19:00:00,0,82,0
2023-03-27 20:00:00,0,92,0
2023-03-27 21:00:00,0,85,1
2023-03-27 22:00:00,1,83,0
2023-03-27 23:00:00,0,65,0
2023-03-28 00:00:00,0,55,0
2023-03-28 01:00:00,0,42,0
2023-03-28 02:00:00,0,37,0
2023-03-28 03:00:00,0,35,0
2023-03-28 04:00:00,0,32,0
2023-03-28 05:00:00,0,31,0
2023-03-28 06:00:00,0,34,0
2023-03-28 07:00:00,0,35,0
2023-03-28 08:00:00,0,36,0
2023-03-28 09:00:00,0,45,0
2023-03-28 10:00:00,1,60,1
2023-03-28 11:00:00,2,53,2
2023-03-28 12:00:00,1,40,1
2023-03-28 13:00:00,1,35,1
2023-03-28 14:00:00,1,33,1
2023-03-28 15:00:00,0,36,0
2023-03-28 16:00:00,0,49,0
2023-03-28 17:00:00,0,68,0
2023-03-28 18:00:00,0,73,0
2023-03-28 19:00:00,1,79,0
